"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","not offered","",""
"SSLv3","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","not offered","",""
"TLS1","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","offered","",""
"TLS1_3","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","h2","",""
"ALPN","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG_FS","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","offered","",""
"cipher_order-tls1_2","nitrates-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","server","",""
